


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Nov  8 2022 18:39:33     Directory:  V5/VexV5-UTG/VexV5-UTG


time,vexVelocity,filteredVelocity,rawVelocity,acceleration,emaGain,voltageOut,deltaTime,vexDeltaTime,deltaTicks
2720,0.000000,0.000004,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2740,0.000000,0.000003,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2760,0.000000,0.000003,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2780,0.000000,0.000003,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2800,0.000000,0.000002,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2820,0.000000,0.000002,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2840,0.000000,0.000002,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2860,0.000000,0.000002,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2880,0.000000,0.000002,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2900,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2920,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2940,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2960,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
2980,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3000,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3020,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3040,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3060,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3080,0.000000,0.000001,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3100,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3120,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3140,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3160,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3180,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3200,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3220,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
3240,0.000000,0.000000,0.000000,-0.000000,0.150000,12000.000000,20,20,0
